model,status,question,horizon,condition,fresh_probability,authors_panel_median,matched_baseline_probability,matched_baseline
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2030,p2b,0.24,0.05685,0.025,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2030,p3a,0.15,0.054849999999999996,0.0525,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2030,p3a,0.133,0.054849999999999996,0.0572,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2030,p3a,,0.054849999999999996,0.1494,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2030,p3a,0.34,0.054849999999999996,0.027,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2030,p3b,0.115,0.04675,0.042,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2030,p3b,0.115,0.04675,0.0515,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2030,p3b,,0.04675,0.1365,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2030,p3b,0.28,0.04675,0.024,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2030,p4,0.16,0.05765,0.056,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2030,p4,0.136,0.05765,0.0593,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2030,p4,,0.05765,0.1525,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2030,p4,0.32,0.05765,0.025,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2030,p5,0.073,0.0366,0.028,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2030,p5,0.08,0.0366,0.0452,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2030,p5,,0.0366,0.1164,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2030,p5,0.16,0.0366,0.018,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2030,eci_p10,0.16,0.03985,0.042,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2030,eci_p10,0.11,0.03985,0.0377,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2030,eci_p10,,0.03985,0.1525,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2030,eci_p10,0.2,0.03985,0.024,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2030,eci_p25,0.19,0.0537,0.056,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2030,eci_p25,0.13,0.0537,0.0514,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2030,eci_p25,,0.0537,0.165,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2030,eci_p25,0.3,0.0537,0.027,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2030,eci_p50,0.215,0.0675,0.07,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2030,eci_p50,0.15,0.0675,0.065,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2030,eci_p50,,0.0675,0.177,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2030,eci_p50,0.4,0.0675,0.03,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2030,eci_p75,0.28,0.0884,0.091,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2030,eci_p75,0.18,0.0884,0.0858,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2030,eci_p75,,0.0884,0.2085,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2030,eci_p75,0.6,0.0884,0.034,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2030,eci_p90,0.35,0.123,0.126,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2030,eci_p90,0.23,0.123,0.12,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2030,eci_p90,,0.123,0.235,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2030,eci_p90,0.99,0.123,0.04,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,unconditional,0.62,0.2975,0.315,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,unconditional,0.45,0.2975,0.28,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,unconditional,,0.2975,0.55,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,unconditional,0.7,0.2975,0.15,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,sq,0.73,0.35250000000000004,0.39,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,sq,0.48,0.35250000000000004,0.315,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,sq,,0.35250000000000004,0.569,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,sq,0.7,0.35250000000000004,0.15,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,p1,0.75,0.34850000000000003,0.405,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,p1,0.47,0.34850000000000003,0.292,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,p1,,0.34850000000000003,0.557,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,p1,0.735,0.34850000000000003,0.157,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,p2a,0.57,0.27,0.27,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,p2a,0.42,0.27,0.27,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,p2a,,0.27,0.5005,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,p2a,0.63,0.27,0.142,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,p2b,0.47,0.238,0.225,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,p2b,0.36,0.238,0.251,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,p2b,,0.238,0.461,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,p2b,0.42,0.238,0.127,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,p3a,0.48,0.244,0.24,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,p3a,0.4,0.244,0.248,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,p3a,,0.244,0.488,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,p3a,0.595,0.244,0.135,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,p3b,0.37,0.202,0.18,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,p3b,0.35,0.202,0.224,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,p3b,,0.202,0.443,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,p3b,0.49,0.202,0.12,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,p4,0.48,0.2485,0.24,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,p4,0.41,0.2485,0.257,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,p4,,0.2485,0.488,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,p4,0.56,0.2485,0.127,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,p5,0.25,0.157,0.12,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,p5,0.26,0.157,0.194,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,p5,,0.157,0.393,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,p5,0.28,0.157,0.09,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,eci_p10,0.52,0.2145,0.24,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,eci_p10,0.35,0.2145,0.189,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,eci_p10,,0.2145,0.524,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,eci_p10,0.35,0.2145,0.12,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,eci_p25,0.57,0.2535,0.27,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,eci_p25,0.4,0.2535,0.237,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,eci_p25,,0.2535,0.537,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,eci_p25,0.525,0.2535,0.135,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,eci_p50,0.61,0.29000000000000004,0.3,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,eci_p50,0.45,0.29000000000000004,0.28,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,eci_p50,,0.29000000000000004,0.545,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,eci_p50,0.7,0.29000000000000004,0.15,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,eci_p75,0.67,0.331,0.33,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,eci_p75,0.52,0.331,0.332,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,eci_p75,,0.331,0.573,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,eci_p75,0.99,0.331,0.172,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2050,eci_p90,0.73,0.4125,0.375,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2050,eci_p90,0.6,0.4125,0.405,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2050,eci_p90,,0.4125,0.595,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2050,eci_p90,0.99,0.4125,0.202,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,unconditional,0.78,0.5625,0.525,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,unconditional,0.6,0.5625,0.45,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,unconditional,,0.5625,0.72,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,unconditional,0.85,0.5625,0.3,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,sq,0.85,0.64,0.6,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,sq,0.63,0.64,0.484,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,sq,,0.64,0.73,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,sq,0.85,0.64,0.3,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,p1,0.86,0.6625,0.625,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,p1,0.62,0.6625,0.462,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,p1,,0.6625,0.724,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,p1,0.8925,0.6625,0.315,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,p2a,0.74,0.4975,0.475,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,p2a,0.57,0.4975,0.44,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,p2a,,0.4975,0.698,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,p2a,0.765,0.4975,0.285,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,p2b,0.66,0.4275,0.425,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,p2b,0.5,0.4275,0.421,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,p2b,,0.4275,0.681,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,p2b,0.51,0.4275,0.255,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,p3a,0.68,0.45999999999999996,0.45,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,p3a,0.55,0.45999999999999996,0.419,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,p3a,,0.45999999999999996,0.694,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,p3a,0.7225,0.45999999999999996,0.27,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,p3b,0.58,0.3865,0.375,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,p3b,0.49,0.3865,0.393,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,p3b,,0.3865,0.673,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,p3b,0.595,0.3865,0.24,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,p4,0.67,0.45999999999999996,0.45,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,p4,0.56,0.45999999999999996,0.427,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,p4,,0.45999999999999996,0.694,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,p4,0.68,0.45999999999999996,0.255,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,p5,0.46,0.344,0.325,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,p5,0.38,0.344,0.363,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,p5,,0.344,0.643,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,p5,0.34,0.344,0.18,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,eci_p10,0.71,0.41000000000000003,0.4,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,eci_p10,0.49,0.41000000000000003,0.357,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,eci_p10,,0.41000000000000003,0.7096,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,eci_p10,0.425,0.41000000000000003,0.24,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,eci_p25,0.75,0.485,0.45,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,eci_p25,0.55,0.485,0.41,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,eci_p25,,0.485,0.714,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,eci_p25,0.6375,0.485,0.27,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,eci_p50,0.78,0.55,0.5,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,eci_p50,0.6,0.55,0.45,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,eci_p50,,0.55,0.716,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,eci_p50,0.85,0.55,0.3,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,eci_p75,0.82,0.625,0.55,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,eci_p75,0.67,0.625,0.495,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,eci_p75,,0.625,0.73,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,eci_p75,0.99,0.625,0.345,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:100,2100,eci_p90,0.86,0.6819999999999999,0.625,Original GPT-6 Astra
Opus 5,complete,ladder:bio:100,2100,eci_p90,0.74,0.6819999999999999,0.554,Original Opus 5
Fable 5.1,refused,ladder:bio:100,2100,eci_p90,,0.6819999999999999,0.739,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:100,2100,eci_p90,0.99,0.6819999999999999,0.405,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,unconditional,0.015,0.0031875000000000002,0.002875,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,unconditional,0.01,0.0031875000000000002,0.0035,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,unconditional,,0.0031875000000000002,0.005,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,unconditional,0.02,0.0031875000000000002,0.0005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,sq,0.015,0.003205,0.00275,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,sq,0.011,0.003205,0.00366,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,sq,,0.003205,0.0049,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,sq,0.02,0.003205,0.0005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,p1,0.016,0.0032125,0.002875,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,p1,0.0105,0.0032125,0.00355,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,p1,,0.0032125,0.0049,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,p1,0.021,0.0032125,0.0005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,p2a,0.013,0.002855,0.00225,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,p2a,0.0093,0.002855,0.00346,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,p2a,,0.002855,0.0048,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,p2a,0.018,0.002855,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,p2b,0.011,0.00269,0.002,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,p2b,0.0077,0.00269,0.00338,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,p2b,,0.00269,0.00475,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,p2b,0.012,0.00269,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,p3a,0.0095,0.0026225,0.001875,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,p3a,0.0087,0.0026225,0.00337,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,p3a,,0.0026225,0.0046,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,p3a,0.017,0.0026225,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,p3b,0.0073,0.002385,0.0015,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,p3b,0.0075,0.002385,0.00327,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,p3b,,0.002385,0.0045,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,p3b,0.014,0.002385,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,p4,0.0095,0.0027,0.002,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,p4,0.009,0.0027,0.0034,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,p4,,0.0027,0.0045,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,p4,0.016,0.0027,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,p5,0.0046,0.002085,0.001,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,p5,0.005,0.002085,0.00317,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,p5,,0.002085,0.00425,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,p5,0.008,0.002085,0.0003,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,eci_p10,0.009,0.0021149999999999997,0.0015,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,eci_p10,0.007,0.0021149999999999997,0.00273,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,eci_p10,,0.0021149999999999997,0.004,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,eci_p10,0.01,0.0021149999999999997,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,eci_p25,0.0115,0.0025599999999999998,0.002,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,eci_p25,0.0085,0.0025599999999999998,0.00312,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,eci_p25,,0.0025599999999999998,0.0045,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,eci_p25,0.015,0.0025599999999999998,0.0004,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,eci_p50,0.0135,0.003,0.0025,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,eci_p50,0.01,0.003,0.0035,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,eci_p50,,0.003,0.0049,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,eci_p50,0.02,0.003,0.0005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,eci_p75,0.019,0.0036049999999999997,0.00325,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,eci_p75,0.013,0.0036049999999999997,0.00396,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,eci_p75,,0.0036049999999999997,0.00575,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,eci_p75,0.03,0.0036049999999999997,0.0005,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,6mo,eci_p90,0.027,0.0045249999999999995,0.0045,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,6mo,eci_p90,0.017,0.0045249999999999995,0.00455,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,6mo,eci_p90,,0.0045249999999999995,0.00675,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,6mo,eci_p90,0.05,0.0045249999999999995,0.0006,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,unconditional,0.032,0.00759375,0.0071875,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,unconditional,0.02,0.00759375,0.008,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,unconditional,,0.00759375,0.012,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,unconditional,0.05,0.00759375,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,sq,0.034,0.0077275,0.006875,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,sq,0.022,0.0077275,0.00858,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,sq,,0.0077275,0.0118,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,sq,0.05,0.0077275,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,p1,0.036,0.007688749999999999,0.0071875,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,p1,0.021,0.007688749999999999,0.00819,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,p1,,0.007688749999999999,0.0118,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,p1,0.0525,0.007688749999999999,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,p2a,0.028,0.0067325,0.005625,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,p2a,0.0185,0.0067325,0.00784,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,p2a,,0.0067325,0.0115,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,p2a,0.045,0.0067325,0.0009,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,p2b,0.023,0.006275,0.005,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,p2b,0.0154,0.006275,0.00755,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,p2b,,0.006275,0.0114,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,p2b,0.03,0.006275,0.0008,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,p3a,0.021,0.00610375,0.0046875,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,p3a,0.0174,0.00610375,0.00752,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,p3a,,0.00610375,0.011,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,p3a,0.0425,0.00610375,0.0009,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,p3b,0.0155,0.00546,0.00375,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,p3b,0.015,0.00546,0.00717,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,p3b,,0.00546,0.0108,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,p3b,0.035,0.00546,0.0008,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,p4,0.0215,0.006325,0.005,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,p4,0.018,0.006325,0.00765,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,p4,,0.006325,0.0108,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,p4,0.04,0.006325,0.0008,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,p5,0.0098,0.00464,0.0025,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,p5,0.01,0.00464,0.00678,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,p5,,0.00464,0.0102,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,p5,0.02,0.00464,0.0006,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,eci_p10,0.019,0.0047550000000000005,0.00375,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,eci_p10,0.014,0.0047550000000000005,0.00576,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,eci_p10,,0.0047550000000000005,0.0096,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,eci_p10,0.025,0.0047550000000000005,0.0008,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,eci_p25,0.024,0.00594,0.005,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,eci_p25,0.017,0.00594,0.00688,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,eci_p25,,0.00594,0.0108,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,eci_p25,0.0375,0.00594,0.0009,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,eci_p50,0.029,0.007125,0.00625,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,eci_p50,0.02,0.007125,0.008,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,eci_p50,,0.007125,0.0118,Original Fable 5.1
Gemini 3.1 Pro Preview,complete,ladder:bio:1k,12mo,eci_p50,0.05,0.007125,0.001,Initial Gemini pilot
GPT-6 Astra,complete,ladder:bio:1k,12mo,eci_p75,0.039,0.0087825,0.008125,Original GPT-6 Astra
Opus 5,complete,ladder:bio:1k,12mo,eci_p75,0.026,0.0087825,0.00944,Original Opus 5
Fable 5.1,refused,ladder:bio:1k,12mo,eci_p75,,0.0087825,0.0138,Original Fable 5.1
